,rynek,inflacja_r,inflacja_q,stopa_procentowa,liczba_kredytow,tempo_wzrostu,ufnosc,duze_zakupy,bezrobocie,spr_detaliczna,pkb
2014-03-31,6193.211455751218,100.6,100.2,0.0446,41942.0,104.2,-20.5,-16.3,13.5,105.5,103.8
2014-06-30,6227.984614357782,100.3,100.0,0.0447,45499.0,104.1,-16.8,-15.0,12.0,105.1,103.9
2014-09-30,6357.260997723212,99.7,99.5,0.0443,43653.0,103.3,-16.9,-12.7,11.5,102.6,104.2
2014-12-31,6438.874573741021,99.3,99.6,0.0388,42993.0,103.3,-13.8,-10.7,11.4,103.7,103.9
2015-03-31,6473.616559493631,98.5,99.5,0.0348,42169.0,104.0,-14.9,-11.5,11.5,104.4,104.3
2015-06-30,6680.353772070129,99.1,100.5,0.035,46504.0,103.1,-11.6,-9.9,10.2,103.5,103.8
2015-09-30,6698.927601712806,99.3,99.6,0.0344,43945.0,103.6,-9.6,-7.1,9.7,102.6,104.1
2015-12-31,6660.298368542482,99.4,99.7,0.0349,48707.0,103.4,-7.5,-4.3,9.7,104.4,105.3
2016-03-31,6550.634072420367,99.1,99.3,0.0374,44735.0,103.7,-7.5,-6.7,9.9,104.4,103.3
2016-06-30,6841.681771791995,99.1,100.5,0.0376,49118.0,104.4,-6.0,-4.2,8.7,105.7,103.4
2016-09-30,6894.325413516621,99.2,99.7,0.0381,42635.0,104.2,-3.9,-1.0,8.3,105.9,102.6
2016-12-31,6759.487001133491,100.2,100.7,0.0383,41921.0,102.9,-3.3,1.8,8.2,106.5,102.8
2017-03-31,6682.58403419727,102.0,101.1,0.0384,50238.0,104.5,-1.7,4.4,8.0,107.1,105.1
2017-06-30,7001.245284079188,101.8,100.3,0.039,49827.0,105.4,2.4,10.2,7.0,106.7,104.5
2017-09-30,7045.096808181858,101.9,99.8,0.0387,45824.0,106.0,4.9,12.2,6.8,107.9,105.7
2017-12-31,6965.260021674604,102.2,101.1,0.038,44745.0,107.6,4.0,9.8,6.6,107.5,105.3
2018-03-31,7224.1829181229905,101.5,100.4,0.0379,55156.0,107.1,5.9,12.4,6.6,108.1,106.1
2018-06-30,7254.241232155096,101.7,100.5,0.0378,53686.0,107.5,6.6,13.7,5.8,105.5,106.4
2018-09-30,7370.163587943977,102.0,100.0,0.0379,52051.0,106.9,6.1,13.3,5.7,105.6,106.4
2018-12-31,7717.748782535281,101.4,100.5,0.0374,51703.0,107.0,4.1,11.9,5.8,105.8,106.1
2019-03-31,7806.89888795748,101.2,100.2,0.037,50600.0,106.7,6.3,13.8,5.9,104.1,105.3
2019-06-30,8010.311231628639,102.4,101.7,0.0377,59321.0,106.9,8.4,16.4,5.3,108.1,105.2
2019-09-30,8355.493491871539,102.8,100.3,0.0382,59707.0,106.8,9.1,18.0,5.1,105.2,104.4
2019-12-31,8562.007083787334,102.8,100.6,0.0382,55445.0,105.8,6.8,17.4,5.2,104.2,103.6
2020-03-31,8709.32956831533,104.5,102.0,0.0335,56453.0,107.0,2.1,13.1,5.4,100.8,102.7
2020-06-30,8791.414674390617,103.2,100.3,0.0253,45179.0,102.1,-28.7,-34.0,6.1,89.3,92.3
2020-09-30,9253.41135722155,103.0,100.1,0.025,48782.0,104.3,-14.6,-12.7,6.1,101.0,98.9
2020-12-31,9486.01920629478,102.8,100.4,0.0249,53756.0,105.4,-24.7,-19.8,6.8,97.2,98.1
2021-03-31,9582.069406578785,102.7,102.1,0.0242,57172.0,105.7,-24.4,-17.7,6.9,101.2,100.3
2021-06-30,9904.880541414665,104.5,101.9,0.0248,67013.0,110.0,-17.3,-11.5,6.4,114.4,112.2
2021-09-30,10341.38413673248,105.4,101.0,0.0246,68353.0,109.6,-13.7,-7.3,6.1,106.1,106.7
2021-12-31,10841.440442952828,107.7,102.6,0.047,63918.0,110.0,-22.8,-16.7,5.8,110.0,108.7
2022-03-31,11333.612553583098,109.7,103.8,0.0678,47767.0,111.7,-32.0,-26.9,5.8,109.0,108.9
2022-06-30,11716.052701970211,113.9,105.8,0.0903,38398.0,113.7,-39.8,-35.1,5.2,109.0,106.3
2022-09-30,11719.917171600233,116.3,103.1,0.092,21218.0,114.5,-43.6,-38.2,5.1,102.8,104.1
2022-12-31,11530.415342290886,117.3,103.6,0.0896,18932.0,112.0,-43.8,-39.6,5.2,100.1,102.5
2023-03-31,11744.826140390143,117.0,104.3,0.089,21968.0,113.3,-36.6,-35.9,5.4,96.5,99.5
2023-06-30,11928.471146814498,113.1,101.9,0.0877,30798.0,112.2,-30.1,-32.1,5.1,92.7,99.4
2023-09-30,12335.591393075312,109.7,99.7,0.0779,40749.0,110.8,-22.5,-24.5,5.0,101.4,100.5
2023-12-31,13037.92647488922,106.4,100.5,0.0808,68860.0,111.5,-16.1,-18.2,5.1,99.5,101.0
2024-03-31,14942.844839243542,102.8,100.9,0.0796,64504.0,112.5,-12.5,-14.1,5.3,105.0,102.1
2024-06-30,14718.380953019783,102.5,101.4,0.0819,45434.0,110.9,-12.4,-12.8,4.9,104.8,103.2
2024-09-30,14988.365862529468,104.5,101.6,0.0809,47100.0,110.8,-14.6,-13.1,5.0,98.5,102.7
