,Liczba mieszkań oddanych do użytkowania,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,I,I-II,I-III,I-IV,I-V,I-VI,I-VII,I-VIII,I-IX,I-X,I-XI,I-XII
95,spółdzielcze,1354,1981,2890,3193,3554,3917,4672,5360,5967,7090,7897,9032
96,pozostałe,846,2105,2623,3025,3602,4356,5392,6389,6930,7864,9248,10767
97,,2007a,,,,,,,,,,,
98,OGÓŁEM,10186,18903,26979,35738,44146,52828,64355,75914,86952,102935,116483,133698
99,indywidualne,5798,10757,15742,20812,25913,30600,36603,42608,48048,55447,62500,71643
100,sprzedaż lub wynajem,2996,5457,7917,10659,12695,15426,19764,24266,28701,35320,39865,45653
101,spółdzielcze,858,1632,2041,2642,3257,3654,4116,4514,5190,6163,7192,8240
102,pozostałe,534,1057,1279,1625,2281,3148,3872,4526,5013,6005,6926,8162
103,,2008a,,,,,,,,,,,
104,OGÓŁEM,14640,25617,35415,49132,58856,69283,83913,95097,107484,123276,135312,165189
105,indywidualne,7574,13494,18531,24800,29123,33864,40184,45588,51559,58903,65729,83338
106,sprzedaż lub wynajem,5294,9475,13623,19765,24170,29005,35597,40295,45526,52099,56188,66703
107,spółdzielcze,1140,1819,2052,2728,3240,3704,4722,5283,6329,7271,7743,8647
108,pozostałe,632,829,1209,1839,2323,2710,3410,3931,4070,5003,5652,6501
109,,2009a,,,,,,,,,,,
110,OGÓŁEM,22096,31833,41498,54391,64300,76147,91619,103187,114841,130353,143922,160002
111,indywidualne,12558,16257,20004,24643,29206,34144,40192,45271,50572,57081,63498,71971
112,sprzedaż lub wynajem,7867,13026,18044,25378,29825,36060,43715,49150,53986,61431,66491,72326
113,spółdzielcze,723,1051,1555,2132,2732,3169,4109,4580,5352,5842,6738,7260
114,pozostałe,948,1499,1895,2238,2537,2774,3603,4186,4931,5999,7195,8445
115,,2010a,,,,,,,,,,,
116,OGÓŁEM,12791,22655,34047,44852,53838,63779,75441,85990,97674,109414,121632,135835
117,indywidualne,6435,11679,17265,22821,27524,32497,38964,44736,50373,56683,62776,70441
118,sprzedaż lub wynajem,4654,8466,13676,17749,21364,25517,29942,33521,38653,43131,48293,53505
119,spółdzielcze,1135,1340,1498,1858,2222,2607,2840,3333,3896,4276,4600,5052
120,pozostałe,567,1170,1608,2424,2728,3158,3695,4400,4752,5324,5963,6837
121,,2011a,,,,,,,,,,,
122,OGÓŁEM,10282,18329,27500,36973,45726,54568,65064,75965,86839,101027,114443,130954
123,indywidualne,6663,12062,18191,23895,28942,34039,39766,46113,51727,58648,65403,73553
124,sprzedaż lub wynajem,3114,5370,7964,11029,14394,17884,21750,25090,29662,36270,42065,48814
125,spółdzielcze,182,377,414,822,931,1054,1541,2148,2300,2537,2958,3786
126,pozostałe,323,520,931,1227,1459,1591,2007,2614,3150,3572,4017,4801
127,,2012a,,,,,,,,,,,
128,OGÓŁEM,12468,23783,36292,47377,57409,67843,79716,92677,104805,120230,135792,152904
129,indywidualne,7124,13606,20534,26511,32031,37604,44448,51044,57127,65058,72791,81050
130,sprzedaż lub wynajem,4207,8469,13521,18213,22224,26640,31111,36935,41981,48416,55726,63586
131,spółdzielcze,575,841,1147,1424,1868,2132,2365,2569,3008,3368,3558,4194
132,pozostałe,562,867,1090,1229,1286,1467,1792,2129,2689,3388,3717,4074
133,,2013a,,,,,,,,,,,
134,OGÓŁEM,14059,24999,37155,47771,57480,67962,80918,91380,102102,116540,129128,145136
135,indywidualne,7748,14368,21172,27948,34022,40011,47660,53606,59306,66597,73155,81228
136,sprzedaż lub wynajem,5709,9771,14287,17609,21121,25066,29801,33427,37605,44275,49279,56447
137,spółdzielcze,352,436,1047,1444,1515,1578,1855,2376,2659,2861,3367,3493
138,pozostałe,250,424,649,770,822,1307,1602,1971,2532,2807,3327,3968
139,,2014a,,,,,,,,,,,
140,OGÓŁEM,12511,24973,35562,47208,56101,66418,79677,88821,100142,114866,127871,143166
141,indywidualne,7155,13869,20399,26501,32017,37819,44347,49365,55417,62064,67961,76129
142,sprzedaż lub wynajem,4449,9517,13204,18299,21484,25601,31480,34515,39247,46408,52803,59065
143,spółdzielcze,415,773,1012,1205,1251,1392,1873,2146,2544,2809,3117,3490
144,pozostałe,492,814,947,1203,1349,1606,1977,2795,2934,3585,3990,4482
145,,2015a,,,,,,,,,,,
146,OGÓŁEM,11748,21241,31703,42138,52548,63966,76852,88067,101331,116296,130032,147711
147,indywidualne,6627,12930,19698,26470,32231,38542,45855,51751,57798,64434,71175,79758
148,sprzedaż lub wynajem,4868,7818,11182,14493,19099,23896,28839,33606,40365,47902,54425,62420
149,spółdzielcze,50,81,244,494,495,511,735,1075,1195,1381,1595,2115
150,pozostałe,203,412,579,681,723,1017,1423,1635,1973,2579,2837,3418
151,,2016a,,,,,,,,,,,
152,OGÓŁEM,12771,25027,37423,51134,62041,73741,86624,99352,112017,128637,145210,163325
153,indywidualne,6159,12403,18911,25176,30666,36990,43029,48912,55137,62316,69499,78062
154,sprzedaż lub wynajem,6086,11749,17319,24415,29623,34769,41107,47294,53331,61627,70175,79160
155,spółdzielcze,353,599,629,806,955,1016,1207,1572,1769,2152,2428,2707
156,pozostałe,173,276,564,737,797,966,1281,1574,1780,2542,3108,3396
157,,2017a,,,,,,,,,,,
158,OGÓŁEM,15355,26899,40587,51853,65499,78379,95719,110126,124343,139898,157483,178258
159,indywidualne,7324,13648,20616,26488,33130,39416,46243,52986,59317,66154,73290,82679
160,sprzedaż lub wynajem,7643,12443,18959,24283,31080,37505,47074,53926,61343,69268,79153,89817
161,spółdzielcze,210,483,569,579,748,803,913,1358,1538,1872,1999,2376
